 , , ,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,Histogram,
178,CT,ap,20.4211,49.5178,-0.755934,0.0636451,21.8,1,9.8,28.4,32,9,23.2,31,5.60844,4.13532,5.44845,0.344992,0.216894,4.50781,0.0533748,3.8,20,-4.1,26.2,
178,CT,pvp,17.5372,36.948,-0.254071,0.162564,18,1,9.57143,25.1429,32,8,18.8571,31,4.78838,3.4822,4.76665,0.357814,0.238483,4.41876,0.0550856,3.64286,15.2857,-3.85714,21.8571,
179,CT,ap,17.0647,26.0025,-0.334148,0.899509,17.4615,1,10.7692,22.9231,32,5.76923,17.5385,31,3.85127,2.60206,3.80943,0.298676,0.169224,4.265,0.0654855,19.4615,14.6923,-18.0769,20,
179,CT,pvp,17.7527,28.5172,-0.263648,0.691209,17.8,1,11.4,24.5333,32,6.53333,17.5333,31,4.07855,2.84412,4.06225,0.301122,0.184637,4.32972,0.0614248,18.5,13.6667,-15.7,20.7333,
180,CT,ap,16.835,38.9499,-0.16104,-0.167118,17.2857,1,8.71429,24.5714,32,8.71429,16,31,4.9962,3.63013,4.96752,0.373327,0.258199,4.52573,0.0503521,4.64286,14.5714,-4.35714,20.5714,
180,CT,pvp,16.5435,37.5095,0.0334688,-0.268213,16.2857,1,8.71429,24.7143,32,8.42857,15.7143,31,4.93215,3.71938,4.898,0.371459,0.25891,4.47942,0.0522506,5.92857,11,-5.57143,18.5714,
181,CT,ap,18.4416,41.9942,-0.422425,-0.103114,19,1,9.57143,26.2857,32,8.57143,17.4286,31,5.18965,3.88804,5.13966,0.35066,0.227129,4.3925,0.0562166,3.57143,13.1429,-3.92857,22.5714,
181,CT,pvp,18.6045,44.7566,-0.46979,0.0917377,19.2857,1,9.42857,26.5714,32,8.57143,19.7143,31,5.2526,3.83482,5.19034,0.358535,0.235404,4.46091,0.0534167,3.21429,15.5714,-2.92857,22.1429,
182,CT,ap,18.1328,43.3144,-0.580391,0.592308,19.3333,1,9,25.6667,32,7.33333,20.3333,31,4.99191,3.6292,4.9368,0.356706,0.195906,4.26611,0.0616428,2.16667,18.6667,-2.66667,23.3333,
182,CT,pvp,20.8031,48.6394,-0.590415,0.105839,21.5,1,12,29,32,10,25.75,31,5.64748,4.28449,5.61033,0.334936,0.236444,4.30795,0.0581549,2.375,25.5,-3.125,28.5,
183,CT,ap,19.1397,61.9313,-0.457197,-0.656607,20,1,8,28,32,13,26.5,31,6.62477,5.37609,6.61156,0.41506,0.330808,4.45261,0.0584816,3.25,25.5,-3.25,27.5,
183,CT,pvp,19.1725,63.3543,-0.210717,-0.930151,19,1,8,30,32,14,20,31,6.77599,5.71727,6.75335,0.41609,0.372822,4.45001,0.051499,1.75,7,-1.75,22.5,
184,CT,ap,19.9172,37.1951,-0.913461,1.05748,21,1,11.6667,26,32,6.66667,22.8333,31,4.62057,3.10377,4.50088,0.302256,0.160996,4.31333,0.0635111,6.58333,18.8333,-7.08333,25.1667,
184,CT,pvp,22.0645,40.0229,-1.06836,1.26662,23.2857,1,13.4286,29,32,8,25,31,4.86436,3.43059,4.73286,0.285643,0.178999,4.35213,0.0596892,6.64286,20.7143,-6.14286,27.8571,
185,CT,ap,19.9021,52.1908,-0.641528,-0.147935,20.9,1,9.5,28.2,32,10.3,22.9,31,5.90499,4.46611,5.72791,0.364281,0.257032,4.53751,0.052244,6.25,19.5,-9.55,24.9,
185,CT,pvp,17.6025,38.3896,-0.362774,0.217401,17.9,1,9.4,25.3,32,7.9,17.1,31,4.86183,3.57814,4.82413,0.362129,0.23494,4.47142,0.0534771,6.35,15.7,-7,24.7,
186,CT,ap,22.7394,50.8757,-1.21472,0.980588,25,1,11.5,30,32,8.5,26.5,31,5.57572,3.94517,5.31513,0.313871,0.183333,4.42591,0.0577926,5.75,26,-6.75,28.5,
186,CT,pvp,21.8338,46.6542,-0.992105,0.492994,23.5,1,12,29,32,9,26.5,31,5.44377,3.9666,5.26273,0.313155,0.195745,4.46604,0.0533368,5.5,21.5,-5.5,29.5,
187,CT,ap,
187,CT,pvp,
188,CT,ap,18.6635,43.7579,-0.394006,0.107162,19.3333,1,10,26.3333,32,9,20.3333,31,5.26317,3.82434,5.16739,0.355858,0.242637,4.39786,0.0572698,3.16667,17.6667,-3.33333,25,
188,CT,pvp,15.7568,46.1159,-0.00755056,-0.357401,16,1,6.33333,23.6667,32,9.66667,17,31,5.50793,4.13245,5.45359,0.429878,0.304167,4.49659,0.051764,3.5,16,-2.83333,17.6667,
189,CT,ap,19.4752,41.9637,-0.561369,0.290859,20.25,1,10.5,27,32,7.5,19,31,5.06197,3.60919,4.99865,0.331474,0.188644,4.38072,0.0575506,2.375,17.75,-2.75,20.75,
189,CT,pvp,18.9801,43.2448,-0.311255,-0.0159898,19.25,1,9.75,27.75,32,8,19,31,5.14292,3.86372,5.13151,0.345703,0.204858,4.31252,0.0602337,2.375,13,-2.375,19.5,
190,CT,ap,20.772,48.836,-0.853665,0.185321,22.6667,1,10.6667,28,32,9,24,31,5.61676,4.08434,5.42588,0.336316,0.211279,4.41468,0.0570057,3.83333,20,-4.66667,30.3333,
190,CT,pvp,21.1173,50.9486,-0.804552,0.187108,23,1,10.75,29,32,9.75,22.5,31,5.7929,4.43656,5.54355,0.337132,0.229712,4.44644,0.0549435,3.5,23.75,-3.875,26.25,
191,CT,ap,18.0085,27.7076,-0.424955,0.735118,18.2857,1,11.5714,24.2857,32,6.28571,19.7143,31,4.03558,2.81837,4.0118,0.291108,0.172306,4.32679,0.0608785,11.2143,15,-12.5714,21.7143,
191,CT,pvp,17.937,32.4321,-0.352462,0.420408,18.5,1,10.5,24.625,32,7.25,19.25,31,4.40132,3.16952,4.35621,0.311887,0.197616,4.3889,0.0580073,10.4375,16.25,-10.9375,23.375,
192,CT,ap,20.2763,51.0931,-0.731063,1.07825,20.5,1,12,29,32,10.5,19.5,31,5.63435,4.34946,5.5921,0.364657,0.269048,4.01571,0.0692521,1.25,11.5,-1.25,19,
192,CT,pvp,20.846,51.2928,-0.968899,0.938074,22,1,12,29,32,8.5,23.5,31,5.55236,4.032,5.52874,0.344041,0.190983,4.03003,0.0673775,0.75,16.5,-1.25,20,
193,CT,ap,
193,CT,pvp,
195,CT,ap,17.799,28.9224,-0.421184,0.139654,18.3333,1,10.5667,24.1667,32,7,19.0333,31,4.25985,3.08841,4.22006,0.301531,0.196292,4.39562,0.0560272,39.75,15.3,-44,23.5,
195,CT,pvp,17.8147,27.0056,-0.374091,0.263169,18.1,1,11.0667,24.1333,32,6.63333,18.5333,31,4.0882,2.9485,4.07072,0.291272,0.183962,4.37166,0.0572856,45.05,14.6333,-43.8,23,
196,CT,ap,19.3992,42.8052,-0.592026,-0.198498,20.5556,1,10.1111,26.8889,32,9.44444,24.1111,31,5.35189,4.13974,5.25531,0.335757,0.240113,4.52436,0.0511509,8.61111,17.4444,-12.6111,27.2222,
196,CT,pvp,18.9009,37.1384,-0.608047,0.232436,19.7778,1,10.1111,26,32,7.44444,20.6667,31,4.77705,3.39841,4.70378,0.320614,0.192253,4.44509,0.0548951,8.11111,17.6667,-8.44444,24.1111,
197,CT,ap,
197,CT,pvp,
198,CT,ap,18.686,37.3272,-0.479813,0.0820296,19.2,1,11,26.2,32,9.2,18.2,31,4.88814,3.64669,4.86149,0.326957,0.24384,4.37706,0.0561024,3.7,15.6,-3.5,22.8,
198,CT,pvp,20.1287,42.8839,-0.79266,0.679547,21,1,11.5,28,32,8,22.75,31,5.09017,3.61564,5.00029,0.327914,0.199361,4.42586,0.0559498,3.375,17.25,-3.875,23,
199,CT,ap,18.5666,67.044,-0.4573,-0.77851,20,1,6,28.3333,32,12.6667,20,31,6.94253,5.59569,6.81098,0.441691,0.342278,4.38371,0.0555769,2,11.6667,-1.83333,19.6667,
199,CT,pvp,19.883,53.4622,-0.638586,-0.189629,21.6667,1,9,28.3333,32,10,21.6667,31,5.94969,4.48833,5.77491,0.366942,0.242372,4.44136,0.0537394,1.66667,21,-2,24.3333,
200,CT,ap,15.7649,41.3053,0.198949,-0.623824,15.1429,1,7.78571,24.6429,32,9.71429,14.2143,31,5.34614,4.15659,5.31621,0.409998,0.314115,4.59096,0.0468508,10.1786,11.2143,-9.60714,18.7857,
200,CT,pvp,16.1158,57.4758,0.0315493,-0.917044,15.6923,1,6.15385,26.5385,32,12.5385,13.3077,31,6.48976,5.3818,6.43902,0.475002,0.398521,4.68387,0.0437043,8.53846,8.46154,-7.80769,16.9231,
